"file","line","text","snippet"
"client/src/pages/DashboardPage.tsx","72","Browse top-performing posts","defaultDesc: 'Browse top-performing posts';"
"client/src/pages/DashboardPage.tsx","79","Hook Generator","defaultLabel: 'Hook Generator';"
"client/src/pages/DashboardPage.tsx","81","Craft attention-grabbing openers","defaultDesc: 'Craft attention-grabbing openers';"
"client/src/pages/DashboardPage.tsx","88","Carousel Maker","defaultLabel: 'Carousel Maker';"
"client/src/pages/DashboardPage.tsx","99","Proven post frameworks","defaultDesc: 'Proven post frameworks';"
"client/src/pages/DashboardPage.tsx","106","Video Scripts","defaultLabel: 'Video Scripts';"
"client/src/pages/DashboardPage.tsx","117","Adapt content across platforms","defaultDesc: 'Adapt content across platforms';"
"client/src/pages/DashboardPage.tsx","126","Research trending hashtags","defaultDesc: 'Research trending hashtags';"
"client/src/pages/EngagementPage.tsx","40","Hook Strength","label: 'Hook Strength';"
"client/src/pages/EngagementPage.tsx","50","Emotional Appeal","label: 'Emotional Appeal';"
"client/src/pages/EngagementPage.tsx","55","Call to Action","label: 'Call to Action';"
"client/src/pages/EngagementPage.tsx","60","Hashtag Relevance","label: 'Hashtag Relevance';"
"client/src/pages/EngagementPage.tsx","65","Length Optimization","label: 'Length Optimization';"
"client/src/pages/EngagementPage.tsx","80","Needs Work","score >= 80 ? 'Excellent' : score >= 60 ? 'Good' : score >= 40 ? 'Fair' : 'Needs Work';"
"client/src/pages/HubPage.tsx","36","Lancer un blog auto","title: 'Lancer un blog auto';"
"client/src/pages/HubPage.tsx","44","Lancer une campagne outreach","title: 'Lancer une campagne outreach';"
"client/src/pages/HubPage.tsx","52","Analyser ma performance","title: 'Analyser ma performance';"
"client/src/pages/ImagesPage.tsx","29","Flat Design","{ value: 'flat-design'; label: 'Flat Design' };"
"client/src/pages/ImagesPage.tsx","32","Oil Painting","{ value: 'oil-painting'; label: 'Oil Painting' };"
"client/src/pages/ImagesPage.tsx","33","Digital Art","{ value: 'digital-art'; label: 'Digital Art' };"
"client/src/pages/LoginPage.tsx","26","Login failed","return error instanceof Error ? error.message : 'Login failed';"
"client/src/pages/LoginPage.tsx","40","Please fill in all fields","toast.error('Please fill in all fields');"
"client/src/pages/marketing/DemoPage.tsx","362","Gemini Pro","model: 'Gemini Pro';"
"client/src/pages/marketing/DemoPage.tsx","369","Mistral Large","model: 'Mistral Large';"
"client/src/pages/marketing/DemoPage.tsx","511","Auto-generated relevant hashtags based on content analysis","'Auto-generated relevant hashtags based on content analysis';"
"client/src/pages/marketing/FeaturesPage.tsx","142","Productivity hack for founders","{ engagement: '12.4K'; topic: 'Productivity hack for founders' };"
"client/src/pages/marketing/FeaturesPage.tsx","143","Why most startups fail at marketing","{ engagement: '8.2K'; topic: 'Why most startups fail at marketing' };"
"client/src/pages/marketing/FeaturesPage.tsx","191","Hook Slide","{['Hook Slide'; 'Value #1'; 'Value #2'; 'Value #3'; 'CTA Slide'].map((slide; i) => ("
"client/src/pages/marketing/FeaturesPage.tsx","253","Short sentences","{['Conversational'; 'Data-driven'; 'Story-first'; 'Short sentences'].map((tag) => ("
"client/src/pages/marketing/FeaturesPage.tsx","308","Story Arc","const templates = ['Listicle'; 'Story Arc'; 'Hot Take'; 'Tutorial'; 'Case Study'; 'Thread'];"
"client/src/pages/marketing/FeaturesPage.tsx","308","Hot Take","const templates = ['Listicle'; 'Story Arc'; 'Hot Take'; 'Tutorial'; 'Case Study'; 'Thread'];"
